 

stn;time;tre200h0;hns000hs;rre150h0;ure200h0;hto000hs;fu3010h0
STG;2018011104;2.4;-;0.0;75.7;-;0.7
STG;2018011105;2.5;0;0.0;74.6;0;3.6
STG;2018011106;2.7;-;0.0;72.3;-;2.9
STG;2018011107;3.0;-;0.0;71.2;-;4.0
STG;2018011108;2.1;-;0.0;78.0;-;1.4
STG;2018011109;2.1;-;0.0;75.1;-;1.1
STG;2018011110;2.7;-;0.0;77.5;-;1.4
STG;2018011111;3.3;-;0.0;77.6;-;2.2
STG;2018011112;3.4;-;0.0;83.8;-;2.9
STG;2018011113;3.9;-;0.0;76.8;-;4.7
STG;2018011114;4.5;-;0.0;70.5;-;3.6
STG;2018011115;4.3;-;0.0;72.9;-;3.6
STG;2018011116;3.9;-;0.0;75.8;-;2.9
STG;2018011117;3.7;-;0.0;77.9;-;4.0
STG;2018011118;3.6;-;0.0;78.6;-;2.5
STG;2018011119;3.1;-;0.0;83.4;-;2.5
STG;2018011120;2.7;-;0.0;87.8;-;1.4
STG;2018011121;3.0;-;0.0;86.6;-;0.7
STG;2018011122;2.2;-;0.0;95.3;-;4.7
STG;2018011123;1.0;-;0.0;99.8;-;3.6
STG;2018011200;0.7;-;0.0;99.8;-;5.0
STG;2018011201;0.6;-;0.0;99.9;-;2.5
STG;2018011202;0.4;-;0.0;99.5;-;4.0
STG;2018011203;0.4;-;0.0;98.9;-;3.6
STG;2018011204;0.4;-;0.0;99.8;-;3.2
STG;2018011205;0.4;0;0.0;100.0;0;2.9
STG;2018011206;0.5;-;0.0;99.3;-;5.0
STG;2018011207;0.3;-;0.0;99.8;-;5.4
STG;2018011208;0.4;-;0.0;99.6;-;5.8
STG;2018011209;0.5;-;0.0;100.0;-;5.0
STG;2018011210;0.6;-;0.0;100.0;-;4.0
STG;2018011211;1.0;-;0.0;98.7;-;2.9
STG;2018011212;1.2;-;0.0;98.5;-;5.0
STG;2018011213;1.2;-;0.0;97.6;-;6.1
STG;2018011214;1.3;-;0.0;96.1;-;5.4
STG;2018011215;1.4;-;0.0;94.9;-;5.4
STG;2018011216;1.3;-;0.0;92.9;-;5.4
